"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Karl Oloapu","Interchange",7,0,1,0,0,0.2
"Riley Jones","Interchange",1,0,0,0,0,0
"Josiah Pahulu","Replacement",23,1,0,1,0.2,0
"Jack Underhill","Replacement",1,0,0,0,0,0
"Benjamin Te Kura","Replacement",11,0,0,0,0,0
"Liam Le Blanc","Interchange",27,1,0,1,0.2,0
"Jye Gray","Fullback",33,1,2,1,0.2,0.4
"Blake Mozer","Interchange",9,0,1,0,0,0.2
"Va'a Semu","Replacement",2,0,0,0,0,0
"Owen Pattie","Interchange",26,0,0,0,0,0
"Keano Kini","Interchange",31,0,2,0,0,0.4
"Arama Hau","2nd Row",15,1,0,1,0.2,0
"Valingi Kepu","Replacement",1,0,0,0,0,0
"Klese Haas","Interchange",64,0,1,0,0,0.2
"Ethan King","Replacement",22,0,0,0,0,0
"Ativalu Lisati","Replacement",18,1,0,1,0.2,0
"Kain Anderson","Interchange",1,0,0,0,0,0
"Matty Nicholson","Lock",12,0,0,0,0,0
"Will Pryce","Five-Eighth",5,1,0,1,0.2,0
"Josh Patston","Interchange",8,1,0,1,0.2,0
"Lachlan Miller","Replacement",23,0,0,0,0,0
"Will Warbrick","Winger",56,4,1,4,0.8,0.2
"Lehi Hopoate","Fullback",36,4,2,2,0.8,0.4
"Simione Laiafi","Replacement",1,0,0,0,0,0
"Connor Votano","Fullback",2,0,0,0,0,0
"Mitchell Woods","Replacement",1,0,0,0,0,0
"Matthew Arthur","Interchange",7,0,0,0,0,0
"Cody Hopwood","Interchange",1,0,0,0,0,0
"Hayden Buchanan","Centre",5,1,1,1,0.2,0.2
"Toby Couchman","Interchange",45,0,0,0,0,0
"Siulagi Tuimalatu-Brown","Winger",3,0,0,0,0,0
"Jonathan Sua","Winger",2,0,0,0,0,0
"Luke Laulilii","Winger",10,2,0,2,0.4,0
"Joey Walsh","Replacement",3,0,0,0,0,0
"Jacob Halangahu","Replacement",6,0,0,0,0,0
"Casey McLean","Winger",36,4,4,3,0.8,0.8
"Jaxen Edgar","Reserve",1,0,0,0,0,0
"Israel Leota","Replacement",1,0,0,0,0,0
