"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"176","Luke Laulilii","Winger",2,0,2,0.4,0
"177","Joey Walsh","Replacement",0,0,0,0,0
"178","Jacob Halangahu","Replacement",0,0,0,0,0
"179","Casey McLean","Winger",4,4,3,0.8,0.8
"180","Jaxen Edgar","Reserve",0,0,0,0,0
"181","Israel Leota","Replacement",0,0,0,0,0
"182","Kaiden Lahrs","Interchange",0,0,0,0,0
"183","LJ Nonu","Replacement",0,0,0,0,0
"184","Jacob Laban","Replacement",0,0,0,0,0
"185","Lyhkan King-Togia","Replacement",1,1,1,0.2,0.2
"186","Valynce Te Whare","Centre",2,0,2,0.4,0
"187","Jahream Bula","Fullback",4,3,4,0.8,0.6
"188","Jed Stuart","Replacement",1,1,1,0.2,0.2
"189","Triston Reilly","Centre",1,0,1,0.33,0
"190","Jeral Skelton","Replacement",4,0,3,0.8,0
"191","Demitric Sifakula","Replacement",0,0,0,0,0
"192","Tanner Stowers-Smith","Replacement",0,0,0,0,0
"193","Leka Halasima","Interchange",3,0,2,0.6,0
"194","Savelio Tamale","Centre",1,0,1,0.2,0
"195","Heamasi Makasini","Winger",1,0,1,1,0
"196","Jethro Rinakama","Winger",1,0,1,0.2,0
"197","Loko Pasifiki Tonga","Replacement",0,0,0,0,0
"198","Elijah Salesa-Leaumoana","Interchange",1,0,1,0.2,0
"199","Cooper Bai","Replacement",0,0,0,0,0
"200","Sebastian Su'a","Replacement",0,0,0,0,0
"201","Eddie Ieremia-Toeava","Replacement",1,0,1,0.2,0
"202","David Fale","Centre",0,0,0,0,0
"203","Solomon Alaimalo","Winger",1,0,1,0.2,0
"204","Tevita Naufahu","Replacement",6,1,3,1.2,0.2
"205","Carter Gordon","Centre",0,0,0,0,0
"206","Mark Nawaqanitawase","Winger",8,2,3,1.6,0.4
"207","Tyrone Thompson","Prop",0,0,0,0,0
"208","Moses Leo","Centre",0,0,0,0,0
"209","Nathan Lawson","Replacement",2,0,1,0.4,0
"210","Daniel Tupou","Winger",6,0,3,1.2,0
"211","Michael Jennings","Centre",1,0,1,0.2,0
"212","Roger Tuivasa-Sheck","Winger",3,1,2,0.6,0.2
"213","Jared Waerea-Hargreaves","Prop",0,0,0,0,0
"214","Jorge Taufua","Winger",1,0,1,1,0
"215","Kieran Foran","Five-Eighth",1,3,1,0.2,0.6
"216","Daly Cherry-Evans","Halfback",1,8,1,0.2,1.6
"217","Isaac Liu","Interchange",0,0,0,0,0
"218","Dylan Napa","Interchange",0,0,0,0,0
"219","Kevin Naiqama","Winger",1,2,1,0.2,0.4
"220","Dane Gagai","Centre",0,0,0,0,0
"221","Tyrone Roberts","Interchange",0,1,0,0,0.5
"222","Aidan Sezer","Five-Eighth",0,3,0,0,0.6
"223","Albert Kelly","Halfback",1,1,1,0.25,0.25
"224","Ryan James","Interchange",0,0,0,0,0
"225","Dylan Walker","Centre",0,2,0,0,0.4
"226","Adam Reynolds","Halfback",1,2,1,0.2,0.4
"227","Thomas Burgess","Interchange",1,0,1,0.2,0
"228","Luke Keary","Interchange",0,5,0,0,1
"229","George Burgess","Interchange",0,0,0,0,0
"230","Alex Johnston","Winger",3,1,2,0.6,0.2
"231","Apisai Koroisau","Hooker",0,1,0,0,0.2
"232","Tautau Moga","Centre",6,0,3,1.2,0
"233","Adam Elliott","Interchange",0,0,0,0,0
"234","Herman Ese'ese","Interchange",0,0,0,0,0
"235","Royce Hunt","Interchange",2,0,1,0.4,0
"236","Shaun Lane","Interchange",1,1,1,0.2,0.2
"237","Jai Arrow","Interchange",0,0,0,0,0
"238","Jayden Berrell","Replacement",0,0,0,0,0
"239","Tom Opacic","Centre",4,0,3,0.8,0
"240","Aaron Booth","Lock",0,1,0,0,0.2
"241","Bronson Garlick","Replacement",0,0,0,0,0
"242","Jack Gosiewski","Interchange",2,0,2,0.4,0
"243","Brock Gray","Interchange",0,0,0,0,0
"244","Cameron McInnes","Interchange",1,0,1,0.2,0
"245","Zane Musgrove","Interchange",0,0,0,0,0
"246","Brendan Elliot","Winger",0,0,0,0,0
"247","Jackson Hastings","Interchange",0,1,0,0,0.2
"248","Taane Milne","Interchange",1,2,1,0.2,0.4
"249","Braden Uele","Interchange",1,0,1,0.2,0
"250","Dale Finucane","Interchange",0,0,0,0,0
"251","Josh Jackson","2nd Row",0,0,0,0,0
"252","David Klemmer","Interchange",0,0,0,0,0
"253","Josh Reynolds","Five-Eighth",0,1,0,0,0.2
